"","ADF/Cofilin","Arhgef8","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","Foxf","GNA-L/S","Gata","Gna12/13","NDE","Paxillin","Rab5","Rabep","Rho","Rock","Tyrosinase"
"Farp",0.908593156585999,0.0628663630327352,0.278108823242386,0.88571925513073,1,0.929647309221853,0.622247422727553,0.519371049122752,0.0139282028876837,0.0393407488007151,0.414904811665878,0.0131429566243176,0.027282544338588,0.178785034762264,0.812396324970744,0.141591245413983,0.602220572789037,0.518701098972802,0.579230609945045,0.0262571534777852,0.654874113672054,0.0071494365638649
"Foxf",1.7813317861861e-09,0.467224618658832,0.0776064127745034,0.347834764524255,0.0300749653961777,0.0727163965820393,0.476354245211098,0.811311187143673,1,0.000280615022411251,0.159607793257031,1.9199118840029e-13,0.86176916082342,0.0197974421295771,0.396632901198906,1,0.348242509353382,0.351805062406282,0.232497493268514,0.924999281477993,0.000597082418027781,0.000100823614102792
"GNA-L/S",0.12590508383755,0.141768383631975,0.2198630922853,0.830309670249668,1,0.0886967384331386,0.452312095193513,1,1,0.001147899212146,0.808493992589669,0.601105819308207,0.00499272174010531,0.108734597692788,0.285301158130584,0.00160942431510261,0.341760103688692,0.810147713774094,0.668423151377387,0.439438388936524,0.73772140259996,0.786121061160078
"Gata",0.295260601891238,0.781761512446418,1,0.0039511261718449,0.14401744001904,0.0190117202164222,0.684304956809436,0.595379874202318,0.773211656199946,0.126508710256239,0.893820215490112,0.331128448379606,0.233700838750855,0.00527940065685345,0.435268645006741,0.599837598898122,0.452602094752476,0.425604512406086,0.819122279008535,0.33462988364608,1,0.0142985282568583
"Gna12/13",0.241467953314181,1,0.23741007005893,0.302747515163457,1,0.0291389957556477,0.279834520816059,0.635830848279135,0.867228154317679,0.000811816768638322,1,0.733682072484104,1,0.17741971579969,0.489673810758316,0.124579625726331,0.344992957046876,0.347180392744515,0.418052573401845,0.259920430311286,0.529560872786848,0.109960567428747
"NDE",0.653306525484539,0.51058616704541,1,0.00124865322838841,0.522990422040194,0.0660479306816152,0.111674514802157,0.657279054445151,0.0331394326074349,0.0659815981834406,0.672850091924882,0.648468473796832,0.000411244967691235,0.0222897179260857,0.124579625726331,0.0230100477032499,1,0.674498617295761,0.138060056090598,1,0.776134769558862,0.120226415002345
"Paxillin",0.000292729080080382,0.504216654427941,0.275440798009233,0.0152358497398654,0.311653437198203,0.102643791326061,0.69652943536124,0.108042678532361,0.642308969883542,0.297668753011649,0.365000981209585,0.187974367945277,0.699610133626188,0.238938703343482,0.705868850665814,0.497791283390268,0.917187343919979,0.606231973352317,0.824948285506358,0.835089090573403,1,0.416559084456176
"Rab5",0.909095013739193,0.24297025881688,0.178944131218434,1,0.0252567561745456,1.56396111316451e-07,0.461124201073018,0.316388175668566,0.421531584436438,0.829783475195178,1,0.0472723141856682,0.0512916905940574,0.110259992582898,0.482790096666498,0.834627598606937,0.796564090822787,0.000318224037662481,0.00256346503788277,0.366572883694061,1.02642854135788e-05,1
"Rabep",1,0.249290071367032,0.12254360702777,0.14192513495378,0.40826494475678,0.880652292097918,0.182155313387205,1,0.316871397513355,0.462880306141678,0.779287071793635,0.545184657022922,0.19810782013443,1,0.418052573401845,0.0502609185096138,1,0.0559685148086811,0.635665331720483,0.824948285506358,1,0.01762046380027
"Rho",0.196224742856132,0.283047586991711,0.827741535629312,0.421518064013129,1,0.723128104684752,0.00132663845574749,1,0.0196778820905613,4.01601907485001e-05,0.0691390762254677,0.452699836596089,0.341760103688692,0.914469228317133,6.01658514045804e-05,1,0.755036368310759,0.0706572826147163,1,0.000785326252282053,0.0765875560310344,0.300079450042703
"Rock",0.636923912101669,0.0190130639946351,0.122098905521303,0.235096500551427,0.731351365144895,0.00103990643810467,0.183679201143281,0.368609986353371,1,0.00711877273596626,0.262024819344147,0.10678206684555,1,0.138888196143261,0.189681814550593,0.557324560450267,1,3.59201627254619e-05,1,0.0311375779620732,0.0006124278994126,0.705918949739904
"Tyrosinase",0.0488932465818399,0.567957916702721,0.356179383762896,0.0172213353225094,1,0.267389276980546,0.488110992093774,0.268618070642901,0.145696245270505,6.03663382682185e-06,0.165560515623658,0.061160277391787,0.135170134932524,0.0389581836715515,0.593039746813485,0.120226415002345,0.103541585505585,0.714159672126922,0.87509873232843,0.506131433586885,0.800730137556447,3.65674855869025e-15
